"","date","ZIPS"
"881",2020-09-27,6103
"882",2020-09-28,6103
"883",2020-09-29,6103
"884",2020-09-30,6103
"885",2020-10-01,6103
"886",2020-10-02,6103
"887",2020-10-03,6103
"888",2020-10-04,6103
"889",2020-10-05,6103
"890",2020-10-06,6103
"891",2020-10-07,6103
"892",2020-10-08,6103
"893",2020-10-09,6103
"894",2020-08-19,6009
"895",2020-08-20,6109
"896",2020-08-21,6109
"897",2020-08-22,6109
"898",2020-08-23,6109
"899",2020-08-24,6109
"900",2020-08-25,6109
"901",2020-08-26,6109
"902",2020-08-27,6109
"903",2020-08-28,6109
"904",2020-08-29,6109
"905",2020-08-30,6109
"906",2020-08-20,6073
"907",2020-08-21,6073
"908",2020-08-22,6073
"909",2020-08-21,6085
"910",2020-08-22,6085
"911",2020-08-23,6085
"912",2020-08-24,6085
"913",2020-08-25,6085
"914",2020-08-26,6085
"915",2020-08-22,6063
"916",2020-08-23,6063
"917",2020-08-24,6063
"918",2020-08-25,6063
"919",2020-08-26,6063
"920",2020-08-27,6063
"921",2020-08-28,6063
"922",2020-08-29,6063
"923",2020-08-30,6063
"924",2020-08-31,6063
"925",2020-09-01,6063
"926",2020-09-02,6063
"927",2020-09-03,6063
"928",2020-09-04,6063
"929",2020-09-05,6063
"930",2020-09-06,6063
"931",2020-09-07,6063
"932",2020-09-08,6063
"933",2020-09-09,6063
"934",2020-08-23,6035
"935",2020-08-24,6035
"936",2020-08-25,6035
"937",2020-08-26,6035
"938",2020-08-27,6035
"939",2020-08-28,6035
"940",2020-08-29,6035
"941",2020-08-30,6035
"942",2020-08-31,6035
"943",2020-09-01,6035
"944",2020-09-02,6035
"945",2020-09-03,6035
"946",2020-09-04,6035
"947",2020-09-05,6035
"948",2020-09-06,6035
"949",2020-09-07,6035
"950",2020-09-08,6035
"951",2020-09-09,6035
"952",2020-09-10,6035
"953",2020-09-11,6035
"954",2020-09-12,6035
"955",2020-09-13,6035
"956",2020-09-14,6035
"957",2020-09-15,6035
"958",2020-09-16,6035
"959",2020-08-18,6041
"960",2020-08-19,6041
"961",2020-08-20,6041
"962",2020-08-21,6041
"963",2020-08-22,6041
"964",2020-08-23,6041
"965",2020-08-24,6041
"966",2020-08-25,6041
"967",2020-08-26,6041
"968",2020-08-27,6041
"969",2020-08-28,6041
"970",2020-08-29,6041
"971",2020-08-30,6041
"972",2020-08-31,6041
"973",2020-09-01,6041
"974",2020-09-02,6041
"975",2020-09-03,6041
"976",2020-09-04,6041
"977",2020-09-05,6041
"978",2020-09-06,6041
"979",2020-09-07,6041
"980",2020-09-08,6041
"981",2020-09-09,6041
"982",2020-09-10,6041
"983",2020-09-11,6041
"984",2020-09-12,6041
"985",2020-09-13,6041
"986",2020-09-14,6041
"987",2020-09-15,6041
"988",2020-09-16,6041
"989",2020-09-17,6041
"990",2020-09-18,6041
"991",2020-09-19,6041
"992",2020-09-20,6041
"993",2020-09-21,6041
"994",2020-09-22,6041
"995",2020-09-23,6041
"996",2020-09-24,6041
"997",2020-09-25,6041
"998",2020-09-26,6041
"999",2020-09-27,6041
"1000",2020-09-28,6041
"1001",2020-09-29,6041
"1002",2020-09-30,6041
"1003",2020-10-01,6041
"1004",2020-10-02,6041
"1005",2020-08-28,6037
"1006",2020-08-29,6037
"1007",2020-08-30,6037
"1008",2020-08-30,6039
"1009",2020-09-01,6105
"1010",2020-09-02,6105
"1011",2020-09-03,6105
"1012",2020-09-04,6105
"1013",2020-09-05,6105
"1014",2020-09-06,6105
"1015",2020-09-07,6105
"1016",2020-09-08,6105
"1017",2020-09-09,6105
"1018",2020-09-10,6105
"1019",2020-09-01,6033
"1020",2020-09-02,6033
"1021",2020-09-05,6073
"1022",2020-09-06,6073
"1023",2020-09-07,6073
"1024",2020-09-08,6073
"1025",2020-09-09,6073
"1026",2020-09-10,6073
"1027",2020-09-11,6073
"1028",2020-09-12,6073
"1029",2020-09-13,6073
"1030",2020-09-14,6073
"1031",2020-09-15,6073
"1032",2020-09-16,6073
"1033",2020-09-17,6073
"1034",2020-09-18,6073
"1035",2020-09-19,6073
"1036",2020-09-20,6073
"1037",2020-09-21,6073
"1038",2020-09-22,6073
"1039",2020-09-23,6073
"1040",2020-09-24,6073
"1041",2020-09-07,6045
"1042",2020-09-08,6045
"1043",2020-09-09,6045
"1044",2020-09-10,6045
"1045",2020-09-11,6045
"1046",2020-09-12,6045
"1047",2020-09-13,6045
"1048",2020-09-14,6045
"1049",2020-09-09,6115
"1050",2020-09-10,6115
"1051",2020-09-11,6115
"1052",2020-09-12,6115
"1053",2020-09-13,6115
"1054",2020-09-14,6115
"1055",2020-09-08,6099
"1056",2020-09-09,6099
"1057",2020-09-09,6093
"1058",2020-09-10,6093
"1059",2020-09-11,6093
"1060",2020-09-12,6093
"1061",2020-09-13,6093
"1062",2020-09-14,6093
"1063",2020-09-15,6093
"1064",2020-09-16,6093
"1065",2020-09-17,6093
"1066",2020-09-11,6093
